Q,PSNR,CR,BPP,MSE,Entropy
20,33.52595059801507,3.276008297994651,2.4419962565104165,28.87256622314453,0.9968514831367014
20,33.3425693807152,3.164557114833258,2.5279998779296875,30.11781120300293,0.9938789880312957
20,35.10190552151296,6.899358475254691,1.159528096516927,20.085830688476562,0.9919385590966581
20,34.207740286799705,5.039833507697385,1.587354024251302,24.677793502807617,0.9934820885771949
20,34.42280538775801,5.104671031813646,1.5671920776367188,23.485498428344727,0.9942104997582628
20,34.17649043731074,4.773914508279193,1.6757736206054688,24.856002807617188,0.9936985289040391
20,34.50359407485829,5.282809233120335,1.5143458048502605,23.052656173706055,0.9949846426787267
20,34.53346863699898,5.324234300105614,1.5025634765625,22.894628524780273,0.995397322260295
20,35.367737807967885,6.502433972677494,1.2303085327148438,18.893245697021484,0.9959628337674271
20,32.46117890650136,2.6038897828635,3.07232666015625,36.89456558227539,0.9954889266870957
20,33.6865729828841,3.8171215007705284,2.095820109049479,27.82421875,0.9961954163439835
20,35.94280431376724,7.637301221199835,1.0474904378255208,16.550073623657227,0.995333173944746
20,33.05983070670028,3.2937732251508556,2.4288253784179688,32.143802642822266,0.9942765788046577
20,35.452860602223446,8.372666443092353,0.9554901123046875,18.52653694152832,0.992765744130547
20,34.98725837667379,6.489623131957453,1.2327372233072917,20.62312889099121,0.9955506419000827
20,35.39003013126805,6.830327888429779,1.171246846516927,18.7965145111084,0.9959330683870781
20,36.10047096718736,7.406208945665839,1.0801747639973958,15.960014343261719,0.9946488878995081
20,33.93174988019282,3.7759807175463846,2.1186548868815103,26.29694938659668,0.9965206942011107
20,35.72102245598538,7.525251002935245,1.0630874633789062,17.417190551757812,0.993180388954434
20,36.23895453840538,8.771807327016491,0.9120127360026041,15.459125518798828,0.995821191546302
20,33.74631943551496,3.996483400328284,2.0017598470052085,27.444061279296875,0.9942639152905103
20,35.95941957477926,8.654306756500233,0.9243952433268229,16.486879348754883,0.993502027826165
20,35.11860333282276,6.587277455993768,1.2144622802734375,20.008752822875977,0.9918003846903253
40,34.10654508007988,19.611036993628666,0.4079335530598958,25.259565353393555,0.994728580754859
40,29.479158199364605,5.4737823870260485,1.4615122477213542,73.31021881103516,0.9951665847535007
40,29.255273965240008,5.185587896391369,1.542737325032552,77.18856048583984,0.9938750873529683
40,31.5747412030071,13.831266817918008,0.578399658203125,45.248714447021484,0.9885197494204018
40,30.77617218366497,10.304166243567527,0.7763849894205729,54.38301086425781,0.992967403069486
40,30.875144912324476,9.679282206550235,0.826507568359375,53.157657623291016,0.9926705703601647
40,30.203224285742433,8.71322802323359,0.9181442260742188,62.052310943603516,0.9897700425240296
40,31.00779712018332,10.16337766060559,0.787139892578125,51.558536529541016,0.9938865054925125
40,30.750480979928877,9.441923845770576,0.8472849527994791,54.705657958984375,0.9921454331874566
40,32.332968916300295,12.575115428434371,0.6361770629882812,37.9999885559082,0.9934655635009528
40,28.021088421970823,4.40279082136084,1.817029317220052,102.55847930908203,0.9917004770659393
40,30.043866267899254,6.825274358095354,1.1721140543619792,64.37152862548828,0.9935065087373858
40,32.5626763117794,14.833931426038488,0.5393040974934896,36.042320251464844,0.9922245930872984
